,UPCC05618-03,05618-02-03-C1,05618-49-C1,UPCC05618-10,05618-43-C1,05618-55-C1,05618-44-C1,UPCC05618-30,UPCC05618-02,05618-02-04-C1,UPCC05618-24,05618-47-C1,UPCC05618-12,UPCC05618-26,UPCC05618-19,UPCC05618-27,UPCC05618-09,UPCC05618-15,05618-37-C1,05618-02-01-C1,05618-40-C1,UPCC05618-25,UPCC05618-13,05618-48-C1,UPCC05618-17,UPCC05618-11,UPCC05618-33,05618-54-C1,UPCC05618-16,05618-51-C1,05618-50-C1,UPCC05618-32,UPCC05618-01,05618-42-C1,05618-53-C1,UPCC05618-31
FMPC 480: UvrD-helicase domain-containing protein ,1.880005874,2.115805661,1.071075188,2.221007584,1.051803106,1.696665755,1.343927108,1.656150998,1.851894796,2.499096719,1.50083345,0.647142167,1.592844091,0.927571162,1.571241196,2.352682298,1.561023562,1.639610348,1.469842132,0.89047521,1.316280435,0.762722803,0.710817005,1.972784023,0.762624198,1.4222703,1.110947422,1.36119031,1.284346942,1.605626636,1.751979182,2.086998151,1.30027454,1.425893087,0.716295507,1.017144246
FMPC 3017: ABC transporter permease ,8.776659003,11.89228699,10.53223935,14.76023875,2.98203518,0.569068017,1.579114351,1.324920799,3.904313233,29.67048387,7.45413947,2.403670907,7.371840423,4.091619461,9.865334069,11.19306426,18.39502457,12.49851545,3.929001085,2.67142563,12.04281135,3.945623731,2.260033556,2.704623258,0.283260416,9.918216067,0.302177699,6.766496759,0.652876362,2.916549649,0.53224684,6.628652158,3.705207096,4.791935785,10.51823402,1.602002187
FMPC 15417: 4Fe-4S binding protein ,5.491596107,6.405784035,2.666530938,6.095321263,3.224758974,3.741095297,2.318274261,2.713950668,4.034063824,14.16434349,2.826569665,2.958364194,4.765368273,1.48411386,6.130416471,5.730207263,4.962513175,6.502226179,3.278878603,2.201452603,3.325340047,2.772204034,1.184695009,2.619772332,0.39220673,1.921477757,0.097763373,4.162480513,1.08099201,3.160442303,2.794295911,8.531821456,1.277260831,4.347805151,2.990847905,2.14871722
FMPC 19779: *hhblits annotated* Putative iron-sulfur FMPC-binding protein  db:Pdp70 e-value:3.9e-25 ,2.335165191,2.20335624,0.066942199,3.475926668,0.25428207,0.295072305,0.235187244,0.213696903,1.061595743,7.765649537,0.837965343,0.66034915,2.224716128,0.762669622,2.215192506,1.826893451,1.185221593,2.510946132,0.211996461,0.346295915,0.092370557,0.498703371,0.765495237,0.116670023,0.206997997,0.414436379,0.079988214,1.321735518,0.171246259,1.107679135,0.343742751,1.535511593,0.322191921,0.116876483,0.779128446,0.16528594
FMPC 21427: DUF378 domain-containing protein ,0.425475014,0.233468211,0.178512531,0.627459542,0.161815862,0.316148898,0.167990888,0.042739381,0.790299053,1.098596209,0.337687526,0.118862847,0.315936018,0.463785581,0.463644943,0.383202041,0.317986281,0.262337656,0.141330974,0.123677113,0.161648475,0.132009716,0.091130385,0.243946411,0.043578526,0.235475215,0.168864008,0.335365729,0.288978062,1.280436431,0.443539033,0.346030781,0.195616524,0.187002372,0.138232466,0.254286061
